company,location,total_laid_off,date,percentage_laid_off,industry,source,notes
Google LLC,SF Bay Area,6372.0,2024-10-29,0.03,,https://example.com/x79197,
 Tesla Inc ,  ,2777,2023-12-26,0.93,Finance,https://example.com/x20044,
"Tesla, Inc.",Seattle,10146,2024/11/24,0.84,,https://example.com/x93343,
"Meta Platforms, Inc.",NYC,9017,23-Mar-2023,0.56,Consumer,https://example.com/x48376,synthetic
airbnb inc,SF Bay Area,N/A,2023/08/27,,Other,https://example.com/x17560,
MSFT,NYC,"10,304",24-Jan-2023,0.41,Tech,https://example.com/x1503,
Hooli Labs,NYC,292,08-Jan-2025,,Other,,no_mapping
Soylent Corp,NYC,48,"March 03, 2025",,Other,,no_mapping
airbnb inc,Remote,11366.0,2024/08/13,,Tech,https://example.com/x13960,synthetic
META,Remote,8559,2023-12-03,,Consumer,https://example.com/x19549,synthetic
Apple,X,100,not-a-date,,Tech,,bad_date
"Lyft, Inc.",Various,9454,2024/01/23,,Consumer,https://example.com/x77588,
Apple Inc.,SF Bay Area,9020,2023-07-26,,Consumer,https://example.com/x57694,
Microsoft,NYC,884,2023-02-02,0.54,Tech,https://example.com/x87247,
Salesforce,  ,710.0,"January 22, 2025",,Tech,https://example.com/x59377,
Salesforce Inc.,Various,4626,2023-04-06,,Consumer,https://example.com/x46811,
META,SF Bay Area,N/A,11/17/2023,0.60,Tech,https://example.com/x56685,synthetic
Apple,Remote,10572.0,25-Jun-2024,0.99,Other,https://example.com/x68808,
APPLE INC,Remote,  1604  ,16-Mar-2023,0.58,Tech,https://example.com/x8574,synthetic
Tesla,Austin,"6,986","December 09, 2023",0.33,Consumer,https://example.com/x78996,
amazon.com,Various,  7684  ,2024-07-19,0.41,Other,https://example.com/x5665,
"Meta Platforms, Inc.",Various,11424,2025-01-20,,Other,https://example.com/x66057,synthetic
Tesla,Various,6529,31-Jul-2024,,Other,https://example.com/x85152,
  Meta Platforms  ,Various,4898.0,17-May-2024,,Tech,https://example.com/x91773,synthetic
Google LLC,  ,601.0,"July 23, 2024",0.38,Tech,https://example.com/x42880,
Tesla,Various,7706,01/04/2025,0.89,Finance,https://example.com/x85856,
uber technologies,Austin,3182,18-Oct-2023,0.07,Tech,https://example.com/x56929,synthetic
Uber,Seattle,1203,2025/02/04,,,https://example.com/x51725,
Apple,Austin,  1354  ,04-Mar-2024,0.45,Consumer,https://example.com/x70243,
Tesla,  ,11465,10/09/2023,0.18,Finance,https://example.com/x97054,
"Meta Platforms, Inc.",Austin,3916,2025/02/20,0.12,Finance,https://example.com/x72636,synthetic
Amazon.com Inc.,Remote,7532,22-Jun-2023,,,https://example.com/x28967,synthetic
Hooli Labs,NYC,83,"May 09, 2023",,Other,,no_mapping
CRM,Seattle,4876.0,"August 18, 2023",0.74,Consumer,https://example.com/x1626,
MSFT,SF Bay Area,  6711  ,2024/08/23,0.17,Consumer,https://example.com/x98418,
"Uber Technologies, Inc.",  ,10904,"March 02, 2024",,Consumer,https://example.com/x59108,
LYFT INC,Remote,2479.0,11-Aug-2023,0.01,Other,https://example.com/x39033,
"Airbnb, Inc.",  ,  7613  ,2023/12/11,0.19,Consumer,https://example.com/x73638,
meta platforms,Various,9997,12-Sep-2023,0.41,Finance,https://example.com/x53888,
 Tesla Inc ,Austin,2555,09/20/2023,0.19,,https://example.com/x57329,
Apple Computer,Seattle,8,01/23/2025,0.79,Finance,https://example.com/x55222,
Meta Platforms Inc,  ,  4908  ,"September 08, 2024",,Other,https://example.com/x38409,synthetic
CRM,Remote,9150,11-Jun-2024,0.28,Tech,https://example.com/x3225,
Google,Austin,7510,10-Aug-2024,,,https://example.com/x39746,
Apple Inc.,  ,10180,"August 06, 2024",,Consumer,https://example.com/x29064,synthetic
Salesforce Inc.,  ,"2,840","November 12, 2023",0.00,Other,https://example.com/x10798,
AMZN,SF Bay Area,"7,771",2023/07/13,,,https://example.com/x13668,synthetic
Lyft,Austin,  2194  ,2023-12-31,0.66,Consumer,https://example.com/x13118,synthetic
Tesla,Remote,11608,2023/02/16,0.59,Consumer,https://example.com/x71736,
